gene_symbol	tumor_mean
A1BG	0.26438471061657864
A2M	0.14227266134501448
A2ML1	-1.4196450078397405
A4GALT	0.23063985477082127
AAAS	0.06436064050117807
AACS	-0.3447509346340496
AADAT	-0.37250688519327824
AAGAB	0.06860694362710973
AAK1	0.0071940687507741075
AAMDC	0.1780139317980094
AAMP	0.06814508364941929
AAR2	0.04386640565036615
AARD	-0.015130665354224249
AARS1	-0.0313139937658633
AARS2	-0.0012006016464596314
AARSD1	-0.04956892978641747
AASDH	-0.012703029254266696
AASDHPPT	0.02510529773330461
AASS	0.06638243309039282
AATF	-0.06943422988435088
AATK	-0.08857883711912784
ABAT	-0.027835490568271837
ABCA1	-0.11556796658266322
ABCA12	-0.1740418639397836
ABCA2	-0.022261377671568994
ABCA3	-0.19365082407298573
ABCA4	-1.2977165942207272
ABCA6	0.1610625542359827
ABCA8	0.011778699322245956
ABCB1	0.019689212663442035
ABCB10	-0.12858849205958478
ABCB6	-0.14184809378092922
ABCB7	-0.1499153877704007
ABCB8	-0.09192017785799678
ABCB9	0.08088528842091236
ABCC1	-0.15599279053965276
ABCC10	0.16678076850842594
ABCC11	-0.4806605579371581
ABCC3	-0.429389958824828
ABCC4	0.06632132302070914
ABCC5	0.0428921324347975
ABCC9	-0.023064010002762814
ABCD1	-0.17237566587766295
ABCD3	-0.5050952269029132
ABCD4	0.05959622242298224
ABCE1	-0.006888329144910443
ABCF1	-0.04368489586463298
ABCF3	0.07534342049375198
ABCG1	-0.2245700884139641
ABHD10	0.1104413523789951
ABHD11	-0.05052227869085968
ABHD12	-0.4167671464663698
ABHD13	0.029895350515417363
ABHD14B	0.04815969145574783
ABHD15	-0.03218992593892267
ABHD16A	-0.18112388968548743
ABHD17A	0.0037863733801088983
ABHD17B	-0.029384079845122812
ABHD17C	0.008132719652031994
ABHD18	0.16930392633404345
ABHD2	-0.13961864296208937
ABHD3	-0.14804755749562126
ABHD4	0.13322657704431862
ABHD5	0.08160703898990818
ABHD6	-0.03539153619539803
ABI1	0.11268934386732354
ABI2	0.1263232622541146
ABI3	0.031899144603674046
ABI3BP	0.19470778419984214
ABITRAM	0.02723016079324836
ABL1	0.12385323710949692
ABL2	-0.06776894750085205
ABLIM1	0.10775474141762587
ABLIM2	0.0547435461824648
ABLIM3	-0.09414407470413266
ABR	0.06412314196138169
ABRACL	-0.17992322200776556
ABRAXAS1	0.057677855748583085
ABRAXAS2	0.125870162393646
ABT1	-0.15110673799315677
ABTB1	-0.10904226218636914
ABTB2	-0.09348587362812921
AC004706.3	0.09980656167749657
AC011005.1	0.24494858665056896
AC026786.1	-0.17661200871530447
AC073111.4	-0.17425947519365792
AC092835.1	-0.7252815163687565
AC093323.1	-0.013711818363239203
AC098484.3	-0.24175966074163924
AC118549.1	0.006726435427893307
AC119396.1	0.21603531050206293
AC139530.2	-0.4905195915867413
AC236972.4	0.024534082066361762
ACAA1	0.02281191027872964
ACAA2	0.09241235062266284
ACACA	-0.11358636690936308
ACACB	0.138379163216932
ACAD10	0.04788829757483981
ACAD11	0.06222110841230055
ACAD8	0.04095896775739405
ACAD9	-0.008772640748116345
ACADL	0.21970095421752056
ACADM	-0.003819943739667764
ACADS	0.19908222688635746
ACADSB	-0.30617093506527127
ACADVL	0.026032318220746475
ACAN	-0.03973307419440175
ACAP1	-0.2469702537181746
ACAP2	0.09291554832874382
ACAP3	0.06497076041183014
ACAT1	0.06564543700183023
ACAT2	-0.04021679002104506
ACBD3	0.10203388167677829
ACBD4	-0.16007680495016707
ACBD5	-0.10221629807050903
ACBD6	0.10253312356056554
ACBD7	-0.49442624237446253
ACCS	-0.30771988224462277
ACD	0.04588812629244288
ACE	-0.1689038274617758
ACE2	-1.2500815356533437
ACIN1	0.01889100524083176
ACKR2	-0.9017598801224409
ACLY	-0.25125974143955965
ACO1	0.16978408713367443
ACO2	0.023949653599505183
ACOT1	-0.2371013421023349
ACOT11	-0.1349669694684792
ACOT12	0.11640748091727104
ACOT13	0.06136883926034287
ACOT2	0.08841177058517502
ACOT4	0.010322888974897637
ACOT7	-0.07685850101428571
ACOT8	0.014990491292607544
ACOT9	0.10936824534773848
ACOX1	-0.10024787407685665
ACOX2	0.18668617591174907
ACOX3	-0.03922509471143876
ACP1	0.09820154911584389
ACP2	0.03381184482075028
ACP3	-0.33919395316382506
ACP5	-0.0381261770274115
ACP6	0.03377200148437964
ACSBG1	-0.1197975527121784
ACSF2	-0.04253154602699638
ACSF3	-0.00029492848638490443
ACSL1	0.03916233791265
ACSL3	-0.44840728072391656
ACSL4	0.062347219876009774
ACSL5	-0.026723555191054515
ACSM1	-0.2125362616293387
ACSM3	-0.398259861522682
ACSM5	0.4373533971519805
ACSM6	-0.7135170233456307
ACSS1	0.026585934185433757
ACSS2	-0.05503859447340176
ACSS3	-0.1158626560015712
ACTA1	0.06992147452502806
ACTA2	-0.007731714773342446
ACTB	0.23125307018671748
ACTBL2	0.12024678605815708
ACTC1	0.2594880566157052
ACTG1	0.17143192585761824
ACTG2	-1.370971957288952
ACTL6A	0.017131748874763986
ACTL6B	-0.5298546445417784
ACTL8	-1.4954288755188223
ACTN1	0.113082941039238
ACTN2	0.14224936138733213
ACTN3	0.3148765823421673
ACTN4	0.05645763945819837
ACTR10	0.05710528977957097
ACTR1A	0.1190660794816516
ACTR1B	0.12487267715845007
ACTR2	0.14223569587842277
ACTR3	0.08925834220330131
ACTR3B	-0.048170441707128475
ACTR5	0.1627657308098165
ACTR6	0.054513528119787935
ACTR8	0.032632475558553864
ACTRT1	0.2023634454425789
ACVR1	0.0032524081770901603
ACVR1B	-1.0610755340848463
ACVRL1	0.008820087621916883
ACY1	-0.11000392942174031
ACY3	-0.008134095801288765
ACYP1	-0.1296199474554811
ACYP2	-0.1259389691318482
ADA	0.05544111998172241
ADA2	0.01927845179395149
ADAL	0.1231548355854084
ADAM10	-0.20883665883931002
ADAM12	0.16260682983723385
ADAM15	-0.12516665909505775
ADAM17	-0.060376279347785555
ADAM22	-0.6391379920343176
ADAM28	-0.6967485226607035
ADAM8	-0.07266699420084421
ADAM9	-0.13498014160366267
ADAMDEC1	-0.8816626773631739
ADAMTS1	-0.40421603872263745
ADAMTS12	0.040450904647613584
ADAMTS13	-0.028512720101449673
ADAMTS14	0.2648824348595049
ADAMTS15	-0.36456686796071835
ADAMTS16	-0.2927628378158058
ADAMTS2	0.09602396344742914
ADAMTS4	-0.06613440837787365
ADAMTS5	-0.20829272787017317
ADAMTS7	-0.12116615996646019
ADAMTSL1	0.020741311957124253
ADAMTSL2	-0.06808491933893634
ADAMTSL3	0.15094718395615025
ADAMTSL5	0.1284385994286481
ADAP1	0.15224789545766626
ADAP2	0.15428014597893025
ADAR	0.01341011583443219
ADARB1	0.10832003300330584
ADAT1	-0.08855659413357131
ADAT2	-0.011581121573449593
ADAT3	0.036241926540149905
ADCK1	0.03961853659487247
ADCK2	0.1331574281090422
ADCK5	-0.04086080179458129
ADCY2	0.3534411499230945
ADCY3	0.1934063444175571
ADCY5	-0.012243255559878818
ADCY6	0.020216485441100218
ADCY7	-0.21066200348969844
ADCY9	0.03855289028956932
ADCYAP1	-0.9475847916532825
ADD1	0.14702657659683283
ADD2	-0.2960476693843752
ADD3	0.05384991978593767
ADGRA2	0.22035999579336973
ADGRE2	0.13426949384626852
ADGRE3	-0.3487906485286265
ADGRE5	-0.08482384696720402
ADGRF5	0.12052098515254528
ADGRG1	-0.12220309376944982
ADGRG5	0.07455661907160227
ADGRG6	-0.005550574058336366
ADGRL1	0.22542411083589187
ADGRL2	-0.4101749563230115
ADGRL3	-0.08165676183156911
ADGRL4	0.1708618756470024
ADGRV1	-1.0206581634451464
ADH1A	0.297056318969231
ADH1B	0.2754313441559404
ADH1C	0.07377763643546231
ADH4	0.041535379419686436
ADH5	0.25385023265537043
ADHFE1	0.07132736316369659
ADI1	-0.037708247502507675
ADIPOQ	-0.15501244168822126
ADIPOR1	-0.26209085452124903
ADIPOR2	-0.15780671559976334
ADIRF	-0.1450010832062496
ADK	0.11623069386591922
ADM	0.28463216065915375
ADNP	0.01308970421695932
ADNP2	0.011396689412901395
ADO	0.046674971875070526
ADPGK	0.05556514435919624
ADPRH	0.07134326830949078
ADPRM	0.19277384750544613
ADPRS	0.028365798248575658
ADRA2A	0.10518150340323729
ADRM1	0.031793364037085325
ADSL	-0.05649686033674328
ADSS1	-0.08106768023417743
ADSS2	0.07839770142519598
AEBP1	0.09267939025138361
AEBP2	-0.02253432663722954
AFAP1	0.15421886389872697
AFAP1L1	0.13411232655185756
AFAP1L2	-0.14731115236552483
AFDN	-0.17085372939929933
AFF1	0.09514325998821604
AFF3	-0.26808052949868966
AFF4	0.019317428894028765
AFG1L	0.09553425537620797
AFG3L2	-0.23328789796785898
AFM	0.23827619702778335
AFMID	-0.05135541972384772
AFTPH	0.029941746395056867
AGA	-0.09236971759834844
AGAP1	-0.003779433528162457
AGAP2	-0.09716782994443207
AGAP3	-0.08927351620743629
AGFG1	0.0961723747378933
AGFG2	-0.2112171650787893
AGGF1	0.10729008947721219
AGK	-0.027392546630416348
AGL	-0.00914347598229881
AGMAT	-0.08073539679051223
AGO1	0.1287866023998845
AGO2	0.01636605801725821
AGO3	0.12566627345792725
AGO4	-0.048974256353147894
AGPAT1	-0.14907729290488092
AGPAT2	-0.01572111721469227
AGPAT3	-0.24724310860380783
AGPAT4	-0.14840900133999746
AGPAT5	-0.3196661569055017
AGPS	-0.09750594463303486
AGR2	-0.216413742708923
AGR3	-0.23836564352719236
