operator,perm_index,perm_auc
proteomics,0,0.36904761904761907
proteomics,1,0.4896825396825397
proteomics,2,0.25396825396825395
proteomics,3,0.4111111111111111
proteomics,4,0.2984126984126984
proteomics,5,0.32936507936507936
proteomics,6,0.719047619047619
proteomics,7,0.6007936507936508
proteomics,8,0.7253968253968254
proteomics,9,0.5904761904761905
proteomics,10,0.5261904761904761
proteomics,11,0.7365079365079366
proteomics,12,0.4714285714285714
proteomics,13,0.569047619047619
proteomics,14,0.38492063492063494
proteomics,15,0.33333333333333337
proteomics,16,0.5420634920634921
proteomics,17,0.6325396825396826
proteomics,18,0.5412698412698413
proteomics,19,0.4642857142857143
proteomics,20,0.46904761904761905
proteomics,21,0.22936507936507936
proteomics,22,0.5634920634920635
proteomics,23,0.37063492063492065
proteomics,24,0.6698412698412699
proteomics,25,0.22857142857142856
proteomics,26,0.6214285714285714
proteomics,27,0.6087301587301587
proteomics,28,0.2666666666666667
proteomics,29,0.46031746031746035
proteomics,30,0.5809523809523809
proteomics,31,0.47142857142857136
proteomics,32,0.711111111111111
proteomics,33,0.6428571428571429
proteomics,34,0.5650793650793651
proteomics,35,0.5738095238095238
proteomics,36,0.503968253968254
proteomics,37,0.37777777777777777
proteomics,38,0.40952380952380957
proteomics,39,0.36269841269841274
proteomics,40,0.41507936507936505
proteomics,41,0.29523809523809524
proteomics,42,0.373015873015873
proteomics,43,0.32142857142857145
proteomics,44,0.4920634920634921
proteomics,45,0.745238095238095
proteomics,46,0.3484126984126984
proteomics,47,0.1650793650793651
proteomics,48,0.5976190476190476
proteomics,49,0.646825396825397
proteomics,50,0.2698412698412699
proteomics,51,0.6214285714285714
proteomics,52,0.35
proteomics,53,0.6571428571428571
proteomics,54,0.7238095238095239
proteomics,55,0.46111111111111114
proteomics,56,0.6174603174603175
proteomics,57,0.2714285714285714
proteomics,58,0.20714285714285716
proteomics,59,0.06190476190476191
proteomics,60,0.4984126984126984
proteomics,61,0.2968253968253968
proteomics,62,0.7944444444444445
proteomics,63,0.5214285714285715
proteomics,64,0.376984126984127
proteomics,65,0.37857142857142856
