operator,perm_index,perm_auc
baseline,0,0.36904761904761907
baseline,1,0.4896825396825397
baseline,2,0.25396825396825395
baseline,3,0.4111111111111111
baseline,4,0.2706349206349207
baseline,5,0.32936507936507936
baseline,6,0.719047619047619
baseline,7,0.6007936507936508
baseline,8,0.7253968253968254
baseline,9,0.5904761904761905
baseline,10,0.5404761904761906
baseline,11,0.7365079365079366
baseline,12,0.4714285714285714
baseline,13,0.569047619047619
baseline,14,0.3682539682539683
baseline,15,0.3222222222222222
baseline,16,0.5420634920634921
baseline,17,0.6325396825396826
baseline,18,0.557936507936508
baseline,19,0.4642857142857143
baseline,20,0.48015873015873023
baseline,21,0.22936507936507936
baseline,22,0.5634920634920635
baseline,23,0.34841269841269845
baseline,24,0.6698412698412699
baseline,25,0.23968253968253966
baseline,26,0.5936507936507937
baseline,27,0.642063492063492
baseline,28,0.2777777777777778
baseline,29,0.4325396825396825
baseline,30,0.5809523809523809
baseline,31,0.47142857142857136
baseline,32,0.711111111111111
baseline,33,0.6428571428571429
baseline,34,0.5650793650793651
baseline,35,0.5738095238095238
baseline,36,0.503968253968254
baseline,37,0.37777777777777777
baseline,38,0.40952380952380957
baseline,39,0.3738095238095238
baseline,40,0.4119047619047619
baseline,41,0.28095238095238095
baseline,42,0.373015873015873
baseline,43,0.33571428571428574
baseline,44,0.4920634920634921
baseline,45,0.745238095238095
baseline,46,0.3484126984126984
baseline,47,0.1650793650793651
baseline,48,0.5976190476190476
baseline,49,0.646825396825397
baseline,50,0.2698412698412699
baseline,51,0.6214285714285714
baseline,52,0.3642857142857142
baseline,53,0.6571428571428571
baseline,54,0.7238095238095239
baseline,55,0.46111111111111114
baseline,56,0.6063492063492064
baseline,57,0.2714285714285714
baseline,58,0.20714285714285716
baseline,59,0.07619047619047618
baseline,60,0.4984126984126984
baseline,61,0.2968253968253968
baseline,62,0.7777777777777779
baseline,63,0.5214285714285715
baseline,64,0.3658730158730159
baseline,65,0.37857142857142856
baseline,66,0.5230158730158732
baseline,67,0.4976190476190476
baseline,68,0.22777777777777777
baseline,69,0.5690476190476191
baseline,70,0.2785714285714286
baseline,71,0.5230158730158732
baseline,72,0.4428571428571428
baseline,73,0.35317460317460314
baseline,74,0.5896825396825396
baseline,75,0.6761904761904762
baseline,76,0.4
baseline,77,0.14523809523809525
baseline,78,0.5317460317460317
baseline,79,0.5722222222222222
baseline,80,0.3928571428571429
baseline,81,0.7563492063492063
baseline,82,0.3357142857142857
baseline,83,0.569047619047619
baseline,84,0.6357142857142858
baseline,85,0.4666666666666667
baseline,86,0.5293650793650794
baseline,87,0.6063492063492064
baseline,88,0.4722222222222222
baseline,89,0.7230158730158731
baseline,90,0.7396825396825398
baseline,91,0.6714285714285714
baseline,92,0.623015873015873
baseline,93,0.39920634920634923
baseline,94,0.573015873015873
baseline,95,0.39920634920634923
baseline,96,0.47777777777777775
baseline,97,0.7476190476190476
baseline,98,0.5277777777777778
baseline,99,0.4801587301587301
baseline,100,0.5182539682539683
baseline,101,0.5325396825396826
baseline,102,0.45476190476190476
baseline,103,0.4111111111111111
baseline,104,0.36269841269841274
baseline,105,0.7690476190476192
baseline,106,0.47063492063492063
baseline,107,0.5563492063492064
baseline,108,0.35793650793650794
baseline,109,0.6142857142857142
baseline,110,0.6880952380952381
baseline,111,0.7634920634920636
baseline,112,0.4896825396825397
baseline,113,0.5452380952380952
baseline,114,0.5936507936507937
baseline,115,0.5087301587301587
baseline,116,0.2785714285714286
baseline,117,0.5865079365079364
baseline,118,0.7253968253968253
baseline,119,0.4103174603174603
baseline,120,0.480952380952381
baseline,121,0.41904761904761906
baseline,122,0.4309523809523809
baseline,123,0.6373015873015873
baseline,124,0.3952380952380953
baseline,125,0.39126984126984127
baseline,126,0.6515873015873016
baseline,127,0.4515873015873016
baseline,128,0.5880952380952381
baseline,129,0.7126984126984126
baseline,130,0.5452380952380953
baseline,131,0.42142857142857143
baseline,132,0.11111111111111112
baseline,133,0.6595238095238096
baseline,134,0.4134920634920635
baseline,135,0.5769841269841269
baseline,136,0.6730158730158731
baseline,137,0.7833333333333333
baseline,138,0.4404761904761904
baseline,139,0.19285714285714287
baseline,140,0.5857142857142857
baseline,141,0.507936507936508
baseline,142,0.5126984126984127
baseline,143,0.5055555555555555
baseline,144,0.4825396825396826
baseline,145,0.5968253968253968
baseline,146,0.5928571428571429
baseline,147,0.376984126984127
baseline,148,0.696031746031746
baseline,149,0.5007936507936508
baseline,150,0.4246031746031747
baseline,151,0.6666666666666667
baseline,152,0.5952380952380952
baseline,153,0.39841269841269844
baseline,154,0.40476190476190477
baseline,155,0.5579365079365081
baseline,156,0.5920634920634921
baseline,157,0.4801587301587301
baseline,158,0.36111111111111105
baseline,159,0.6023809523809524
baseline,160,0.24603174603174605
baseline,161,0.4349206349206349
baseline,162,0.469047619047619
baseline,163,0.5523809523809524
baseline,164,0.3095238095238095
baseline,165,0.5555555555555556
baseline,166,0.7198412698412697
baseline,167,0.5015873015873016
baseline,168,0.6055555555555555
baseline,169,0.6261904761904763
baseline,170,0.4103174603174603
baseline,171,0.46904761904761905
baseline,172,0.5420634920634921
baseline,173,0.6031746031746031
baseline,174,0.5246031746031746
baseline,175,0.4642857142857143
baseline,176,0.3238095238095238
baseline,177,0.4912698412698413
baseline,178,0.6730158730158731
baseline,179,0.6626984126984127
baseline,180,0.4920634920634921
baseline,181,0.5301587301587302
baseline,182,0.25793650793650796
baseline,183,0.7896825396825398
baseline,184,0.6373015873015873
baseline,185,0.5238095238095238
baseline,186,0.4904761904761905
baseline,187,0.39682539682539686
baseline,188,0.3603174603174603
baseline,189,0.7253968253968254
baseline,190,0.7714285714285714
baseline,191,0.507936507936508
baseline,192,0.4166666666666667
baseline,193,0.4904761904761905
baseline,194,0.49365079365079356
baseline,195,0.5158730158730159
baseline,196,0.5682539682539682
baseline,197,0.7198412698412698
baseline,198,0.46507936507936504
baseline,199,0.40634920634920635
baseline,200,0.638888888888889
baseline,201,0.6214285714285714
baseline,202,0.4976190476190476
baseline,203,0.6182539682539683
baseline,204,0.3388888888888889
baseline,205,0.6095238095238095
baseline,206,0.4682539682539682
baseline,207,0.19841269841269843
baseline,208,0.37777777777777777
baseline,209,0.22777777777777777
baseline,210,0.8293650793650793
baseline,211,0.584920634920635
baseline,212,0.6380952380952382
baseline,213,0.5936507936507938
baseline,214,0.5214285714285714
baseline,215,0.7507936507936508
baseline,216,0.6111111111111112
baseline,217,0.24285714285714288
baseline,218,0.42222222222222217
baseline,219,0.47857142857142854
baseline,220,0.11111111111111112
baseline,221,0.576984126984127
baseline,222,0.42142857142857143
baseline,223,0.6238095238095239
baseline,224,0.7452380952380951
baseline,225,0.40634920634920635
baseline,226,0.2873015873015873
baseline,227,0.7523809523809523
baseline,228,0.4920634920634921
baseline,229,0.6587301587301587
baseline,230,0.5309523809523811
baseline,231,0.37936507936507935
baseline,232,0.35238095238095235
baseline,233,0.5920634920634921
baseline,234,0.4793650793650793
baseline,235,0.5261904761904762
baseline,236,0.6063492063492064
baseline,237,0.39047619047619053
baseline,238,0.3841269841269841
baseline,239,0.5793650793650794
baseline,240,0.2507936507936508
baseline,241,0.2563492063492064
baseline,242,0.45555555555555555
baseline,243,0.3492063492063493
baseline,244,0.5380952380952382
baseline,245,0.5444444444444445
baseline,246,0.6063492063492063
baseline,247,0.6722222222222223
baseline,248,0.4126984126984127
baseline,249,0.4309523809523809
baseline,250,0.7325396825396826
baseline,251,0.23730158730158726
baseline,252,0.5428571428571429
baseline,253,0.4722222222222223
baseline,254,0.6150793650793651
baseline,255,0.32142857142857145
baseline,256,0.28253968253968254
baseline,257,0.5150793650793651
baseline,258,0.21507936507936512
baseline,259,0.2492063492063492
baseline,260,0.5857142857142857
baseline,261,0.3468253968253968
baseline,262,0.5571428571428572
baseline,263,0.23253968253968255
baseline,264,0.29444444444444445
baseline,265,0.5063492063492063
baseline,266,0.30158730158730157
baseline,267,0.8595238095238095
baseline,268,0.36190476190476195
baseline,269,0.41825396825396827
baseline,270,0.46825396825396826
baseline,271,0.6253968253968254
baseline,272,0.4603174603174603
baseline,273,0.6777777777777778
baseline,274,0.5174603174603174
baseline,275,0.3388888888888889
baseline,276,0.6373015873015873
baseline,277,0.33333333333333337
baseline,278,0.8
baseline,279,0.5444444444444444
baseline,280,0.16666666666666666
baseline,281,0.40476190476190477
baseline,282,0.515079365079365
baseline,283,0.34523809523809523
baseline,284,0.45634920634920634
baseline,285,0.4817460317460317
baseline,286,0.1626984126984127
baseline,287,0.43095238095238103
baseline,288,0.5857142857142857
baseline,289,0.3595238095238095
baseline,290,0.526984126984127
baseline,291,0.5817460317460317
baseline,292,0.246031746031746
baseline,293,0.40714285714285714
baseline,294,0.47777777777777775
baseline,295,0.3746031746031746
baseline,296,0.6944444444444444
baseline,297,0.6007936507936507
baseline,298,0.3666666666666667
baseline,299,0.6119047619047618
baseline,300,0.5515873015873016
baseline,301,0.4158730158730159
baseline,302,0.45
baseline,303,0.7285714285714285
baseline,304,0.6555555555555556
baseline,305,0.5777777777777777
baseline,306,0.6992063492063492
baseline,307,0.5365079365079366
baseline,308,0.4492063492063492
baseline,309,0.43650793650793657
baseline,310,0.5698412698412698
baseline,311,0.6484126984126983
baseline,312,0.45396825396825397
baseline,313,0.6587301587301588
baseline,314,0.4095238095238095
baseline,315,0.5142857142857143
baseline,316,0.4753968253968254
baseline,317,0.146031746031746
baseline,318,0.47857142857142854
baseline,319,0.5547619047619048
baseline,320,0.44841269841269843
baseline,321,0.6777777777777778
baseline,322,0.5833333333333333
baseline,323,0.5865079365079364
baseline,324,0.4444444444444445
baseline,325,0.7515873015873017
baseline,326,0.6309523809523808
baseline,327,0.31269841269841275
