operator,perm_index,perm_auc
permuted,0,0.36904761904761907
permuted,1,0.4896825396825397
permuted,2,0.25396825396825395
permuted,3,0.4111111111111111
permuted,4,0.2873015873015873
permuted,5,0.32936507936507936
permuted,6,0.719047619047619
permuted,7,0.6007936507936508
permuted,8,0.7253968253968254
permuted,9,0.5904761904761905
permuted,10,0.5404761904761906
permuted,11,0.7365079365079366
permuted,12,0.4714285714285714
permuted,13,0.569047619047619
permuted,14,0.3682539682539683
permuted,15,0.3222222222222222
permuted,16,0.5420634920634921
permuted,17,0.6325396825396826
permuted,18,0.557936507936508
permuted,19,0.4642857142857143
permuted,20,0.48015873015873023
permuted,21,0.22936507936507936
permuted,22,0.5634920634920635
permuted,23,0.34841269841269845
permuted,24,0.6698412698412699
permuted,25,0.23968253968253966
permuted,26,0.6103174603174604
permuted,27,0.6253968253968254
permuted,28,0.2777777777777778
permuted,29,0.4436507936507937
permuted,30,0.5809523809523809
permuted,31,0.47142857142857136
permuted,32,0.711111111111111
permuted,33,0.6428571428571429
permuted,34,0.5650793650793651
permuted,35,0.5738095238095238
permuted,36,0.503968253968254
permuted,37,0.3888888888888889
permuted,38,0.40952380952380957
permuted,39,0.36269841269841274
permuted,40,0.4261904761904762
permuted,41,0.28095238095238095
permuted,42,0.373015873015873
permuted,43,0.32142857142857145
permuted,44,0.4920634920634921
permuted,45,0.745238095238095
permuted,46,0.3484126984126984
permuted,47,0.1650793650793651
permuted,48,0.5976190476190476
permuted,49,0.646825396825397
permuted,50,0.2698412698412699
permuted,51,0.6214285714285714
permuted,52,0.3642857142857142
permuted,53,0.6571428571428571
permuted,54,0.7238095238095239
permuted,55,0.46111111111111114
permuted,56,0.6063492063492064
permuted,57,0.2714285714285714
permuted,58,0.20714285714285716
permuted,59,0.07619047619047618
permuted,60,0.4984126984126984
permuted,61,0.2968253968253968
permuted,62,0.7777777777777779
permuted,63,0.5214285714285715
permuted,64,0.3658730158730159
permuted,65,0.37857142857142856
permuted,66,0.5230158730158732
permuted,67,0.4976190476190476
permuted,68,0.22777777777777777
permuted,69,0.5857142857142857
permuted,70,0.2785714285714286
permuted,71,0.5087301587301588
permuted,72,0.4428571428571428
permuted,73,0.3753968253968254
permuted,74,0.5896825396825396
permuted,75,0.6761904761904762
permuted,76,0.4
permuted,77,0.14523809523809525
permuted,78,0.5150793650793651
permuted,79,0.5722222222222222
permuted,80,0.3928571428571429
permuted,81,0.7563492063492063
permuted,82,0.3357142857142857
permuted,83,0.569047619047619
permuted,84,0.6357142857142858
permuted,85,0.4666666666666667
permuted,86,0.5293650793650794
permuted,87,0.6063492063492064
permuted,88,0.4722222222222222
permuted,89,0.7230158730158731
permuted,90,0.7253968253968254
permuted,91,0.6714285714285714
permuted,92,0.6396825396825397
permuted,93,0.39920634920634923
permuted,94,0.573015873015873
permuted,95,0.39920634920634923
permuted,96,0.47777777777777775
permuted,97,0.7476190476190476
permuted,98,0.5277777777777778
permuted,99,0.4801587301587301
permuted,100,0.5293650793650794
permuted,101,0.5325396825396826
