"","BR:MCF7","BR:MDA-MB-231","BR:HS 578T","BR:BT-549","BR:T-47D","CNS:SF-268","CNS:SF-295","CNS:SNB-19","CNS:SNB-75","CNS:U251","CO:COLO 205","CO:HCC-2998","CO:HCT-116","CO:HCT-15","CO:HT29","CO:KM12","CO:SW-620","LE:CCRF-CEM","LE:HL-60(TB)","LE:K-562","LE:MOLT-4","LE:RPMI-8226","LE:SR","ME:LOX IMVI","ME:MALME-3M","ME:M14","ME:SK-MEL-2","ME:SK-MEL-28","ME:SK-MEL-5","ME:UACC-257","ME:UACC-62","ME:MDA-MB-435","LC:A549/ATCC","LC:EKVX","LC:HOP-62","LC:HOP-92","LC:NCI-H226","LC:NCI-H322M","LC:NCI-H460","LC:NCI-H522","OV:IGROV1","OV:OVCAR-3","OV:OVCAR-4","OV:OVCAR-5","OV:OVCAR-8","OV:SK-OV-3","OV:NCI/ADR-RES","PR:PC-3","PR:DU-145","RE:786-0","RE:A498","RE:ACHN","RE:CAKI-1","RE:RXF 393","RE:SN12C","RE:TK-10","RE:UO-31"
"1",-0.271321310560208,-0.303424174664879,-0.815230523605972,-0.23142685010885,1.93464349354836,-0.357645893958101,-0.719254855797202,-1.28152362451699,-0.175901696755077,-0.266214749916355,0.00898365820674521,-0.490847901692401,0.732103126710995,-0.0828644450406201,-0.918122628276014,-0.353878542297067,1.29416892881955,1.64244326247571,1.43973951048954,1.18340435608377,1.54075906764099,1.50454822487535,0.325216172593727,-0.193323147769013,-0.233204673471031,-0.508679001433484,-0.745881499778074,-0.443324405778789,-0.108779316817367,-0.4071718863338,-0.131538485656679,-0.38669231879511,-0.826277654596084,-0.264910890425687,-0.841222153018516,2.10999760713585,-1.16450958210182,-0.802716170307278,-0.700569075695782,1.91405267869248,0.149151155563391,1.95875816063401,2.08200766217225,-0.593328221534195,-0.413640763444559,-0.868216770271725,-0.787946942571868,-0.403992674945537,-0.43495914751018,-0.5199031471955,-1.64812057369141,1.65721791586327,-0.269748082139594,0.00228253915696648,-0.390610581832107,-0.379301942525702,1.0595978249766
"17",-0.354113059894586,-0.304666916294621,-0.222020983160549,1.48362834683715,1.50938831862684,0.335570416710999,0.424930589917937,-0.941891319336944,0.330804641082444,-0.843065549944552,-0.0417111362690934,-0.941891319336944,-0.941891319336944,-0.630912907180161,-0.941891319336944,0.111034697349915,-1.02940962403875,2.27023293716689,1.79268221883542,-0.037650559406526,1.68637158685482,1.69847851213329,0.621888716513924,0.839186532585061,-0.75612844266872,-0.941891319336944,-0.941891319336944,-0.776995217313707,-0.941891319336944,-0.0619158227006885,-0.110469050770962,-0.941891319336944,-0.941891319336944,-0.676216260316121,-0.941891319336944,-0.078754425993429,0.100272301464661,-0.786410008020473,-0.941891319336944,1.83250380610669,1.35308238054415,0.251391134912205,0.891818651698853,-0.422508731843868,-0.572747762547718,-0.492963766812177,0.234057276232883,1.30248835324575,-0.941891319336944,0.521218205129727,-0.329637870520844,-0.941891319336944,0.717829744608951,-0.23900591002139,-0.315533164405325,-0.761549771381546,1.12066684460815
"295",-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,NA,2.91915670748912,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,NA,-0.264586813308759,-0.264586813308759,3.36267659103994,-0.264586813308759,3.18324982904609,-0.264586813308759,-0.264586813308759,4.82260479109782,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759,-0.264586813308759
"534",1.11544462659376,NA,-1.01571968905068,-0.377982995615407,3.12785285295411,-0.25805083263833,-0.580105088489217,0.244206052789377,0.855278631151151,1.29390362653785,-0.173030679824645,-0.635746890440189,-0.494157015992484,-0.31090955246298,-0.0497190887786675,-0.443698350619715,0.841409992512013,1.46477109376596,0.690170989316369,2.89809318657874,-0.272768206316765,-0.346228864885292,1.64418044181046,-0.249044960074181,-0.215892314482483,-0.413076080867026,-0.424880541986283,-0.508475495835466,0.660786813984345,-0.710682224518031,-0.262209574739084,-0.55956520668311,-0.93527645532432,-0.783274917389585,-0.405882894246473,-0.120431239862666,-1.16747742798841,-0.593841508447872,-0.548576355514113,2.17217135723168,0.806035867990609,0.355694521069255,0.45885495960161,-0.377393059436322,-0.760380805844584,-0.650810589308492,-1.13009894509089,-0.187790228423474,-0.493505545052523,0.675255318503815,-0.538896970927222,-0.515627405056062,0.749215179882306,-0.0626797309265687,-0.51148390331974,-0.805225628385873,-0.949798614689635
"596",0.789098652900623,-0.960686276750867,-0.514636546555481,-1.29372490059013,0.856816506414607,-1.15651298756835,-1.25265013698329,-1.33613181869233,0.448289127838443,-0.0350609282269408,0.934525518643769,-1.37676253080072,0.926310565922399,0.951399475584958,0.816851871553895,-0.986663289410328,0.823956695529132,2.49403438120843,0.437631891875588,0.84216280696568,0.383457609064401,0.694071632231821,0.529550552055223,0.76845025822259,0.857482583662286,NA,-0.99709849962396,-1.02951425901098,-1.17516315050335,0.893450755036927,0.826621004519848,0.36147705989101,-1.42849453037042,-1.21512778536406,-1.10566909099556,0.902109759256747,-1.11388404371693,-1.2935028748409,-1.47001334547571,0.988033724207276,0.83283772549818,0.871470205863536,0.830395442256692,-0.188036669443776,0.31152126631512,-1.23177971655603,0.360144905395652,0.798867785866576,-0.888749934001586,0.822624541033776,-1.1653940175374,0.796203476875862,0.86591956213288,0.827731133265978,-1.03129046500479,-0.90828819993349,1.02666620457263
"721",-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.283359219246265,-0.369047846519562,-0.369047846519562,3.65329056919209,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.351224612046717,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,0.214777333969176,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,1.27046122197621,-0.369047846519562,0.0614518169014877,-0.369047846519562,-0.369047846519562,-0.369047846519562,-0.369047846519562,0.032431935131598,-0.369047846519562,-0.369047846519562,3.21776383963767,-0.369047846519562,-0.369047846519562,3.55114972548232,-0.369047846519562,-0.369047846519562,-0.369047846519562,0.821909821076253,-0.369047846519562,0.761128021463727,-0.369047846519562,-0.369047846519562,-0.369047846519562,0.565072442262421
"739",0.582099040490634,-1.18121749103832,-2.29694848985268,-0.215315871002422,-0.974918186030879,0.582099040490634,0.443805560778435,-0.0882474884760709,-2.32816991900867,0.551855933595322,-1.02332616196384,0.582099040490634,0.582099040490634,0.582099040490634,0.582099040490634,0.582099040490634,0.582099040490634,0.582099040490634,0.582099040490634,0.582099040490634,0.452383605643287,-0.0110772791530277,0.630349561347859,0.582099040490634,-1.62638911216517,0.582099040490634,-2.89108807167785,-1.3254299214411,0.129388986638512,-0.411276064578626,0.582099040490634,0.582099040490634,0.582099040490634,-1.07375228460502,0.582099040490634,-1.9170272963983,-0.691589388382447,-1.0645400124922,0.582099040490634,0.0501844819961714,0.630349561347859,0.144822083494535,0.533848519633408,0.197584448025928,0.582099040490634,0.582099040490634,0.582099040490634,0.338315075204326,0.630349561347859,0.582099040490634,0.0349562631497026,0.582099040490634,0.582099040490634,-1.9170272963983,0.582099040490634,-2.09404473631868,0.582099040490634
"740",0.703630686927654,-1.21902620359087,-1.89278760385375,-0.877270649271371,-1.15616144236797,0.510855148318561,0.536588919873373,-0.356636893465247,-1.46057716270306,0.350770099337983,-0.586346317267216,0.220311117909864,0.693212388207462,0.66287728729466,0.615759161443757,0.504565297459114,0.581702953986442,0.66182813721854,0.627040675414444,0.69566867165043,0.59847948372849,0.384373499489138,0.661167245572533,0.667547790176512,-0.732800067291523,0.581401363523104,-1.92893338036901,-0.83156431425327,0.319137171269977,-0.383839344645489,0.621571990037222,0.636950079451612,0.603635736959611,-1.46740786871554,0.519830821402359,-1.38598938687019,-1.55554479629789,-0.356655214556024,0.676126719882269,0.013163227715972,0.322696175405341,-0.105001280278255,-1.7858329032916,-0.360635570180092,0.644214532338713,-1.44386949290446,0.377523447947242,0.626845939640221,0.507495717861833,0.682429025716125,-0.891693760772722,0.4989438494471,0.541226523563339,-1.40077296173711,0.601913932074502,-1.64159321059027,0.23145547111723
"749",-1.27880536302222,0.0955371269452982,-0.0112018371887003,0.588084387364528,0.299539507717319,0.651439895586531,-0.012817745502371,-1.76104821079425,0.473760954937685,-0.0143459231529692,-1.12016907784145,-1.46386186327303,0.373807289740402,-1.23936279725718,-1.58102944364328,-1.70882120253965,0.909483935985091,1.00115153458541,0.793062691214867,0.938583501655353,0.891255697668762,0.886568477611803,0.261870750887414,1.09005234072929,0.796809748573542,0.915663862584774,1.42075450173517,0.367652377416181,-0.218746497057321,0.265965865791346,0.810129360792087,0.755078906389017,-1.63632327701755,-0.839398002827885,0.739982035922531,0.432031344903821,0.30608482242479,-1.20708430093412,-1.34996961694767,-1.10467208011988,-2.10335904121149,-1.22345611056189,-1.00461559166339,-1.15770123253405,0.646767391444172,0.332808953296663,0.164224162721232,-0.256931050464042,0.215721384708993,0.748827611815896,-0.35135808505267,-1.02964356423896,0.795428589888067,1.09695624372321,0.554724487043312,0.685655106509744,0.819644901008708
"752",0.475974644475766,-0.312832478559877,-1.08905979407118,-0.44104334163752,-0.0586093998264826,0.0577340673436845,0.125972646383647,-3.2856693041855,-0.113625960048931,-1.09092304499861,-0.276411877370109,0.217498923905937,0.589155506328628,0.0894797411408256,0.0131045602309737,-0.2876330949244,-0.164457080557892,1.68846584690073,0.131581258964869,0.951389549536945,1.29844359316612,0.923487180846073,1.67565061475078,1.38221368481488,-0.00845915270162856,0.629221357597088,0.143252730513889,-1.58995732762993,-0.856870212788355,-0.406739995089443,0.614047407785653,0.383611451042992,-0.931885551226107,-0.422116126705913,0.391875571328306,0.456630831066668,-0.957685311616238,-1.60301294683012,0.490620497906515,0.322907122854417,-1.21148923757764,0.35594755915044,-0.113318473826842,0.462406513569339,0.430794754145016,0.609939741533445,0.521672628435575,-0.321710842634127,0.507809411747654,0.384089486066145,-1.31458732025727,-0.31844413259015,0.556828769555271,0.34494251395725,-0.0474337105062829,0.155236155681487,-0.159730217897869
