,geometry_aware_distortion,geometry_aware_distortion,geometry_aware_distortion,geometry_aware_distortion,random_mean_distortion,random_mean_distortion,random_mean_distortion,random_mean_distortion,advantage,advantage,advantage,advantage
,mean,median,std,count,mean,median,std,count,mean,median,std,count
panel_size,,,,,,,,,,,,
50,1.1279165233629702,1.1092295388070592,0.07893264711756398,57,1.2799400588070804,1.284159094345147,0.036684711890611434,57,0.15202353544410996,0.1753333819548435,0.10443677727339011,57
100,1.0251102530723812,0.9883936148090736,0.11199553991519492,57,1.360420122434257,1.3623680075135751,0.01799498191902808,57,0.33530986936187585,0.3749395493232507,0.12450750064797537,57
200,1.0015984645361906,0.9633029271890425,0.11950462488388341,57,1.38990055681311,1.3914094185205745,0.010238817552749666,57,0.3883020922769195,0.4261900146130473,0.12438980429911474,57
500,0.9027454359413202,0.8376408789942515,0.1561745219680627,57,1.4016255931377521,1.4014409047545193,0.006792303484678373,57,0.498880157196432,0.5621880440459155,0.15420427034502862,57
