,topology_distortion,topology_distortion,topology_distortion,topology_distortion,proteomics_distortion,proteomics_distortion,proteomics_distortion,proteomics_distortion,delta_distortion,delta_distortion,delta_distortion,delta_distortion
,mean,median,std,count,mean,median,std,count,mean,median,std,count
panel_size,,,,,,,,,,,,
50,1.2834845763183587,1.2877801560466273,0.05062922794078415,570,1.2859561202658587,1.292744725032619,0.06619844132683803,570,0.002471543947499999,0.0011027282695262874,0.054775514655992785,570
100,1.3661999683201633,1.3734584279472104,0.03471669752545471,570,1.361062022703044,1.3714542637140674,0.04710403005261301,570,-0.005137945617119236,-0.0007747002368788669,0.038505969329927565,570
200,1.3886069285881075,1.3944756853521862,0.020655172718934047,533,1.3877922792087265,1.3985289921531496,0.03288930224603131,570,-0.0008551521239068291,0.0011956924508487177,0.028774720018000615,533
500,1.397204352047277,1.4076780040304564,0.023070030207142867,570,1.4014791143430088,1.4104745661433067,0.023435506041348614,570,0.004274762295731675,0.000833066722643494,0.018105615707828916,570
