panel_size,strategy,distortion_mean,distortion_std,n
20,degree,48.35228574112003,,1
20,geometry_aware,1.846619031578612,,1
20,random,53.38129507787189,61.63290733754792,10
40,degree,30.864313623655466,,1
40,geometry_aware,1.8347208386603322,,1
40,random,145.28611488992445,385.4869634501908,10
60,degree,30.697025854041044,,1
60,geometry_aware,1.8235765167208196,,1
60,random,19.50675514770061,5.127202245238934,10
80,degree,30.125692957733808,,1
80,geometry_aware,1.6807816327487848,,1
80,random,14.709338244823403,6.663427299539253,10
100,degree,27.882992830712467,,1
100,geometry_aware,1.6297252787675247,,1
100,random,13.543987571847016,4.283193386822871,10
120,degree,23.391224771756427,,1
120,geometry_aware,1.6234932152626493,,1
120,random,66.13394950825842,179.0843079887156,10
