step,added_metabolite_id,subsystem,distortion_after,record_type,panel_size,strategy,trial,distortion
52.0,MAM00682m,Fatty acid oxidation;Omega-6 fatty acid metabolism,1.827962223230806,greedy_trace,,,,
53.0,MAM00103m,Beta oxidation of even-chain fatty acids (mitochondrial);Carnitine shuttle (mitochondrial);Fatty acid oxidation,1.8274098024266745,greedy_trace,,,,
54.0,MAM03012m,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1.8268589220841913,greedy_trace,,,,
55.0,MAM00044m,Beta oxidation of odd-chain fatty acids (mitochondrial),1.82630921306579,greedy_trace,,,,
56.0,MAM03010m,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),1.8257604676466357,greedy_trace,,,,
57.0,MAM00262m,Beta oxidation of even-chain fatty acids (mitochondrial);Carnitine shuttle (mitochondrial),1.8252127229566344,greedy_trace,,,,
58.0,MAM03029m,Omega-6 fatty acid metabolism,1.8246660867429878,greedy_trace,,,,
59.0,MAM03024m,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),1.8241208164927945,greedy_trace,,,,
60.0,MAM00119m,Beta oxidation of even-chain fatty acids (mitochondrial);Carnitine shuttle (mitochondrial);Fatty acid oxidation,1.8235765167208196,greedy_trace,,,,
61.0,MAM00108r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid oxidation,1.8230334080241988,greedy_trace,,,,
62.0,MAM00125m,Beta oxidation of even-chain fatty acids (mitochondrial);Carnitine shuttle (mitochondrial);Fatty acid oxidation,1.8224910667122682,greedy_trace,,,,
63.0,MAM00009r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid oxidation,1.8219494993009016,greedy_trace,,,,
64.0,MAM00054m,Beta oxidation of odd-chain fatty acids (mitochondrial),1.8214096093919034,greedy_trace,,,,
65.0,MAM02647r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Fatty acid biosynthesis,1.8208705473108358,greedy_trace,,,,
66.0,MAM00108m,Beta oxidation of even-chain fatty acids (mitochondrial);Carnitine shuttle (mitochondrial);Fatty acid oxidation,1.820332601105105,greedy_trace,,,,
67.0,MAM01364m,Carnitine shuttle (mitochondrial);Fatty acid oxidation;Omega-6 fatty acid metabolism,1.8197955520880793,greedy_trace,,,,
68.0,MAM00040m,Beta oxidation of even-chain fatty acids (mitochondrial),1.8192592810349248,greedy_trace,,,,
69.0,MAM03220x,Fatty acid oxidation,1.818723778175783,greedy_trace,,,,
70.0,MAM01349c,Pantothenate and CoA metabolism;Protein assembly;Protein degradation,1.819610367437505,greedy_trace,,,,
71.0,MAM00153g,N-glycan metabolism;Transport reactions,1.8336581561668397,greedy_trace,,,,
72.0,MAM02249l,Keratan sulfate degradation,1.7426605916284013,greedy_trace,,,,
73.0,MAM02245l,Keratan sulfate degradation,1.7552044714374324,greedy_trace,,,,
74.0,MAM02252l,Keratan sulfate degradation,1.7199000494439574,greedy_trace,,,,
75.0,MAM02485m,Pantothenate and CoA metabolism;Protein degradation;Transport reactions,1.7319183781285203,greedy_trace,,,,
76.0,MAM02242l,Keratan sulfate degradation,1.7188520339202513,greedy_trace,,,,
77.0,MAM01409c,Fatty acid biosynthesis (even-chain),1.7178841644097627,greedy_trace,,,,
78.0,MAM00139r,N-glycan metabolism;Transport reactions,1.7028788979947784,greedy_trace,,,,
79.0,MAM01970r,N-glycan metabolism;Transport reactions,1.6914131089565314,greedy_trace,,,,
80.0,MAM02255l,Keratan sulfate degradation,1.6807816327487848,greedy_trace,,,,
81.0,MAM02239l,Keratan sulfate degradation,1.6705194848012752,greedy_trace,,,,
82.0,MAM02258l,Keratan sulfate degradation,1.661746605063738,greedy_trace,,,,
83.0,MAM02276l,Keratan sulfate degradation,1.6532505931953867,greedy_trace,,,,
