metabolite_id,subsystem,leverage_topology,leverage_proteomics,delta_leverage,abs_delta_leverage
MAM01772c,Carnitine shuttle (cytosolic);Carnitine shuttle (endoplasmic reticular);Carnitine shuttle (mitochondrial),2.527905016131979e-06,3.093626162792092e-06,5.657211466601129e-07,5.657211466601129e-07
MAM02022e,Exchange/demand reactions;Transport reactions,3.903612038388423e-05,3.847040490057429e-05,-5.657154833099402e-07,5.657154833099402e-07
MAM02001e,Exchange/demand reactions;Transport reactions,3.90361022252514e-05,3.847045695839335e-05,-5.656452668580518e-07,5.656452668580518e-07
MAM01650m,Beta oxidation of even-chain fatty acids (mitochondrial);Fatty acid oxidation;Transport reactions,0.0010342586034465993,0.0010348232128115328,5.646093649335025e-07,5.646093649335025e-07
MAM00105m,Carnitine shuttle (mitochondrial);Fatty acid oxidation,5.086803236029188e-07,1.0723321170275595e-06,5.636517934246407e-07,5.636517934246407e-07
MAM03125c,Porphyrin metabolism;Transport reactions,2.3930632082833045e-06,2.956431457950605e-06,5.633682496673005e-07,5.633682496673005e-07
MAM00941c,Cholesterol biosynthesis 1 (Bloch pathway);Cholesterol metabolism,5.5704752480895325e-06,6.133386680134885e-06,5.629114320453528e-07,5.629114320453528e-07
MAM01784c,Acyl-CoA hydrolysis;Fatty acid activation (cytosolic);Omega-3 fatty acid metabolism,4.069531659841995e-06,4.631481832199089e-06,5.619501723570938e-07,5.619501723570938e-07
MAM00830m,Transport reactions;Tyrosine metabolism,9.128936926170444e-07,1.473338084508527e-06,5.604443918914826e-07,5.604443918914826e-07
MAM00732r,"Phenylalanine, tyrosine and tryptophan biosynthesis",4.353462290720043e-06,4.913370370326951e-06,5.599080796069073e-07,5.599080796069073e-07
MAM02976c,Carnitine shuttle (cytosolic);Carnitine shuttle (endoplasmic reticular);Carnitine shuttle (mitochondrial),1.787913397493337e-06,2.3463815313951673e-06,5.584681339018302e-07,5.584681339018302e-07
MAM02684r,Glycerolipid metabolism;Glycerophospholipid metabolism;Pool reactions,4.171553338018564e-06,4.729497458587911e-06,5.579441205693469e-07,5.579441205693469e-07
MAM03630e,Exchange/demand reactions;Transport reactions,3.159157782778265e-06,3.7169569245066686e-06,5.577991417284036e-07,5.577991417284036e-07
MAM00900c,Propanoate metabolism,2.219080422231958e-06,1.6613171994586776e-06,-5.577632227732803e-07,5.577632227732803e-07
MAM02601c,Histidine metabolism;Transport reactions,7.56877531680514e-07,1.3114144932398008e-06,5.545369615592867e-07,5.545369615592867e-07
MAM02975r,Carnitine shuttle (endoplasmic reticular),3.0211378022794864e-06,3.5755364597773214e-06,5.54398657497835e-07,5.54398657497835e-07
MAM00168m,Pyruvate metabolism;Transport reactions,5.945222030456783e-06,6.49960028353825e-06,5.543782530814676e-07,5.543782530814676e-07
MAM01474l,Formation and hydrolysis of cholesterol esters;Pool reactions,4.8806698786507686e-06,5.434925885045423e-06,5.542560063946545e-07,5.542560063946545e-07
MAM00606m,Steroid metabolism,2.217522658040458e-06,2.7700737974854817e-06,5.525511394450238e-07,5.525511394450238e-07
MAM00155c,Isolated,2.3386898936330134e-06,2.8912272333569024e-06,5.52537339723889e-07,5.52537339723889e-07
MAM00426c,Arachidonic acid metabolism;Artificial reactions,1.2035666877844873e-05,1.2587530701354563e-05,5.518638235096897e-07,5.518638235096897e-07
MAM00396c,Arachidonic acid metabolism;Artificial reactions,1.2035666936427901e-05,1.2587530707178592e-05,5.518637707506908e-07,5.518637707506908e-07
MAM01213c,Arachidonic acid metabolism;Artificial reactions,1.2035667652287745e-05,1.2587530084688358e-05,5.518624324006125e-07,5.518624324006125e-07
MAM02049n,Porphyrin metabolism,4.4006310983893995e-06,4.952491132343884e-06,5.518600339544849e-07,5.518600339544849e-07
MAM20064n,Porphyrin metabolism,4.4006311095498725e-06,4.9524905975539215e-06,5.51859488004049e-07,5.51859488004049e-07
MAM00354c,Arachidonic acid metabolism;Artificial reactions,1.2035671667629644e-05,1.258753004952664e-05,5.518583818969955e-07,5.518583818969955e-07
MAM01190c,Arachidonic acid metabolism;Artificial reactions,1.203567014463079e-05,1.2587526826851744e-05,5.518566822209544e-07,5.518566822209544e-07
MAM00430c,Arachidonic acid metabolism;Artificial reactions,1.2035669135331019e-05,1.2587522915114223e-05,5.518537797832038e-07,5.518537797832038e-07
MAM01806n,Porphyrin metabolism,4.400637863503382e-06,4.952490584368537e-06,5.518527208651546e-07,5.518527208651546e-07
MAM00297c,Arachidonic acid metabolism;Artificial reactions,1.203566718464362e-05,1.2587517631416393e-05,5.518504467727733e-07,5.518504467727733e-07
