index,eig_topology,eig_proteomics,abs_shift,relative_shift,cumulative_distortion
0,9.034139215135195e-05,0.00016032697612119125,6.99855839698393e-05,0.7746790427793173,0.0008553688264761978
1,0.0007472996753602049,0.0008009118474755497,5.361217211534474e-05,0.07174119541502813,0.001510620639005264
2,0.0013037508266395955,0.0014465360081910795,0.000142785181551484,0.10951876579821053,0.0032557513681353957
3,0.002931164732499508,0.003105582902012129,0.00017441816951262092,0.05950473118049003,0.005387502744767935
4,0.003944220270145684,0.003923969806387312,2.0250463758371418e-05,0.005134212180418928,0.005635005365137035
5,0.005191080007139852,0.0059036975013345705,0.0007126174941947186,0.137277308975647,0.014344667486388102
6,0.006402988247317914,0.006719444709521632,0.00031645646220371856,0.049423245823831195,0.018212421062934067
7,0.006598461472187116,0.00744977083202476,0.0008513093598376447,0.1290163416573613,0.02861718511271815
8,0.006698654387216529,0.007671622990230864,0.0009729686030143349,0.14524836580998488,0.04050887715771443
9,0.006902661353447151,0.008036086310518158,0.0011334249570710067,0.1642011535653244,0.054361678269533004
10,0.007459324297991255,0.008291368297942511,0.0008320439999512565,0.1115441515344461,0.06453097970912064
11,0.007569351852313134,0.008691374845589492,0.0011220229932763582,0.14823237379105905,0.07824442520171974
12,0.008107563627769952,0.00962600367474863,0.0015184400469786773,0.1872868492318017,0.09680290835474095
13,0.008664634202365351,0.010614110223074343,0.0019494760207089921,0.2249923049205948,0.12062954409155165
14,0.009207692995448746,0.011641403172396534,0.0024337101769477884,0.26431269785889144,0.15037452441401547
