perm_index,seed,distortion,is_observed
-1,-1,1.8235764883533603,True
0,1000,1.639781207056195,False
1,1001,0.9355848363669658,False
2,1002,0.8527865127949288,False
3,1003,1.0577287460694251,False
4,1004,0.869823871769654,False
5,1005,1.3952592219913191,False
6,1006,1.4210486727540674,False
7,1007,1.2210490369933609,False
8,1008,1.2824378710787692,False
9,1009,1.1534200037997613,False
10,1010,1.2403554710143774,False
11,1011,0.7799087075117649,False
12,1012,1.3518774782738696,False
13,1013,1.2081836245524884,False
14,1014,0.6911550606355957,False
15,1015,1.574680369310419,False
16,1016,1.379297075795588,False
17,1017,1.682280842496411,False
18,1018,1.4359713433594534,False
19,1019,1.757059903422937,False
20,1020,0.6562687388506621,False
21,1021,1.215352765622252,False
22,1022,0.8934667397522901,False
23,1023,1.0768835435087734,False
24,1024,1.671194057712041,False
25,1025,1.3308900867865348,False
26,1026,1.3520263042206375,False
27,1027,0.9792283918801713,False
28,1028,1.3296551524393863,False
29,1029,1.2805113257137595,False
30,1030,1.3192091784468294,False
31,1031,0.9365551751781033,False
32,1032,1.1977834809842505,False
33,1033,0.8648831481270115,False
34,1034,1.2850626704722556,False
35,1035,1.5180622217691775,False
36,1036,1.191186237133402,False
37,1037,1.1860879342216673,False
38,1038,0.9703743945566681,False
39,1039,1.0475935268469383,False
40,1040,1.403449429655934,False
41,1041,1.1879585167767743,False
42,1042,0.9308366709822612,False
43,1043,1.215251311171496,False
44,1044,1.3098000650083925,False
45,1045,1.181088177501102,False
46,1046,1.1459453781422924,False
47,1047,1.3134951743568302,False
48,1048,1.3749050755635635,False
49,1049,0.7087953976670829,False
