component,principal_angle_rad,principal_angle_deg,cos_angle
0,0.0028919086134724906,0.16569415828950343,0.9999958184351999
1,0.00750228502533516,0.42984926865590256,0.9999718579916957
2,0.012027679992222871,0.6891353008883133,0.9999276683289976
3,0.014156485665688617,0.8111068813814054,0.999899798630229
4,0.015606340322303746,0.8941774341128416,0.9998782235425367
5,0.018671158151325678,1.0697785606922459,0.9998256989903531
6,0.024416156201398177,1.3989427022722876,0.9997019404659324
7,0.030066193285523197,1.7226659812850533,0.9995480460584899
8,0.034734346785068704,1.9901314749282364,0.9993968232234998
9,0.03758857723978503,2.1536668337411875,0.9992936326053615
10,0.0394713599393304,2.2615423361653852,0.9992211070056595
11,0.056044622903190344,3.2111203567550377,0.9984299111570933
12,0.07163630998711233,4.104458222152405,0.9974352166484489
13,0.10105105649287921,5.789799052380033,0.9948986851362462
14,0.4054291194527595,23.229377436348425,0.9189332314327696
