cell_line,panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials,nontrivial_full_rank
CNS:SF-295,200,-1,summary,,1.4122562785797688,1.3553061952309273,-0.05695008334884144,10.0,5.0
CNS:SF-295,500,-1,summary,,1.4141563762980935,1.4014409047545193,-0.01271547154357422,10.0,5.0
CNS:SNB-19,50,-1,summary,,1.1087873570531164,1.2817055347313666,0.17291817767825024,10.0,22.0
CNS:SNB-19,100,-1,summary,,0.9873086693844273,1.3547150028618922,0.3674063334774649,10.0,22.0
CNS:SNB-19,200,-1,summary,,0.9633029271890425,1.3921621361105538,0.4288592089215113,10.0,22.0
CNS:SNB-19,500,-1,summary,,0.8334574712795536,1.4074396373130615,0.5739821660335079,10.0,22.0
CNS:SNB-75,50,-1,summary,,1.109927471404964,1.2765804815130473,0.1666530101080832,10.0,22.0
CNS:SNB-75,100,-1,summary,,0.982816791737939,1.3613349635148821,0.37851817177694314,10.0,22.0
CNS:SNB-75,200,-1,summary,,0.9626563432895122,1.3831098979887653,0.42045355469925305,10.0,22.0
CNS:SNB-75,500,-1,summary,,0.8348857100095857,1.3926333207022237,0.557747610692638,10.0,22.0
CNS:U251,50,-1,summary,,1.1094717083779966,1.271458204097518,0.1619864957195214,10.0,22.0
CNS:U251,100,-1,summary,,0.9918878404293401,1.3706156940243428,0.3787278535950027,10.0,22.0
CNS:U251,200,-1,summary,,0.9633320335486925,1.4065156585743088,0.44318362502561637,10.0,22.0
CNS:U251,500,-1,summary,,0.837399858676555,1.3930393933458105,0.5556395346692555,10.0,22.0
CO:COLO 205,50,-1,summary,,1.1093697488625132,1.2529185803991705,0.14354883153665732,10.0,22.0
CO:COLO 205,100,-1,summary,,0.9903193683718826,1.370962739331423,0.3806433709595404,10.0,22.0
CO:COLO 205,200,-1,summary,,0.9630126359667536,1.386135479612522,0.42312284364576846,10.0,22.0
CO:COLO 205,500,-1,summary,,0.8341804852938004,1.3978369044124421,0.5636564191186417,10.0,22.0
CO:HCC-2998,50,-1,summary,,1.1124385428697772,1.2979068957057784,0.18546835283600127,10.0,22.0
CO:HCC-2998,100,-1,summary,,0.9903095776420995,1.3400432737431047,0.34973369610100524,10.0,22.0
CO:HCC-2998,200,-1,summary,,0.9638114658961023,1.3895146912813052,0.4257032253852029,10.0,22.0
CO:HCC-2998,500,-1,summary,,0.9346357032210025,1.389635668063717,0.45499996484271443,10.0,22.0
CO:HCT-116,50,-1,summary,,1.1091538067062003,1.2907457737565173,0.181591967050317,10.0,15.0
CO:HCT-116,100,-1,summary,,0.9883936148090736,1.374613539761158,0.38621992495208446,10.0,15.0
CO:HCT-116,200,-1,summary,,0.9635469083708081,1.3952424273692796,0.4316955189984715,10.0,15.0
CO:HCT-116,500,-1,summary,,0.8378549347601238,1.4066694440893337,0.5688145093292098,10.0,15.0
CO:HCT-15,50,-1,summary,,1.4089418605832547,1.3441148533184248,-0.06482700726482982,10.0,2.0
CO:HCT-15,100,-1,summary,,1.410616843127965,1.3545675112088602,-0.05604933191910488,10.0,2.0
CO:HCT-15,200,-1,summary,,1.411573116445809,1.4034104390054383,-0.008162677440370691,10.0,2.0
CO:HCT-15,500,-1,summary,,1.4140458249376473,1.4118334171898126,-0.0022124077478347104,10.0,2.0
CO:HT29,50,-1,summary,,1.1091729540805813,1.2754776662631238,0.1663047121825425,10.0,22.0
CO:HT29,100,-1,summary,,0.9906321725585377,1.3515283500356043,0.3608961774770666,10.0,22.0
CO:HT29,200,-1,summary,,0.9636174305183617,1.3996254520049622,0.43600802148660056,10.0,22.0
CO:HT29,500,-1,summary,,0.8347492515806849,1.4022151324584142,0.5674658808777293,10.0,22.0
CO:KM12,50,-1,summary,,1.1095333935810225,1.292460544718772,0.1829271511377495,10.0,22.0
CO:KM12,100,-1,summary,,0.9910800508133933,1.3748828006593288,0.38380274984593543,10.0,22.0
CO:KM12,200,-1,summary,,0.9633794444482844,1.404646436773187,0.44126699232490263,10.0,22.0
CO:KM12,500,-1,summary,,0.836620451758989,1.4109222444823282,0.5743017927233391,10.0,22.0
CO:SW-620,50,-1,summary,,1.108894700071323,1.2783331315038413,0.16943843143251835,10.0,22.0
CO:SW-620,100,-1,summary,,0.9888184814715182,1.3561712735637175,0.3673527920921993,10.0,22.0
CO:SW-620,200,-1,summary,,0.9640442929563936,1.3991378608053584,0.4350935678489648,10.0,22.0
CO:SW-620,500,-1,summary,,0.9379342309262169,1.4018446878095117,0.4639104568832948,10.0,22.0
LE:CCRF-CEM,50,-1,summary,,1.1090692640346784,1.298843911394901,0.18977464736022265,10.0,22.0
LE:CCRF-CEM,100,-1,summary,,0.9891967665428164,1.3466223854943875,0.3574256189515711,10.0,22.0
LE:CCRF-CEM,200,-1,summary,,0.9640554670103392,1.3879116411125163,0.42385617410217713,10.0,22.0
LE:CCRF-CEM,500,-1,summary,,0.8379865876781177,1.4086653905059103,0.5706788028277926,10.0,22.0
LE:HL-60(TB),50,-1,summary,,1.1083802955097577,1.251246529928641,0.14286623441888335,10.0,22.0
LE:HL-60(TB),100,-1,summary,,0.9862930389428257,1.3641756393350621,0.3778826003922364,10.0,22.0
LE:HL-60(TB),200,-1,summary,,0.962611526396471,1.3895095965503035,0.4268980701538325,10.0,22.0
LE:HL-60(TB),500,-1,summary,,0.8344432295505853,1.4085022612005251,0.5740590316499399,10.0,22.0
LE:K-562,50,-1,summary,,1.109187119067023,1.2310107877265577,0.12182366865953465,10.0,22.0
LE:K-562,100,-1,summary,,0.9907693756634877,1.3651089420323566,0.3743395663688689,10.0,22.0
