cell_line,panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials,nontrivial_full_rank
BR:MDA-MB-231,500,2,random,1.4103811975776355,,,,,
BR:MDA-MB-231,500,3,random,1.4114338585460315,,,,,
BR:MDA-MB-231,500,4,random,1.413705962028929,,,,,
BR:MDA-MB-231,500,5,random,1.4092037541169473,,,,,
BR:MDA-MB-231,500,6,random,1.4103245584483206,,,,,
BR:MDA-MB-231,500,7,random,1.410833953516196,,,,,
BR:MDA-MB-231,500,8,random,1.389643461370647,,,,,
BR:MDA-MB-231,500,9,random,1.4138764270096034,,,,,
BR:MDA-MB-231,500,10,random,1.4133904271175624,,,,,
BR:MDA-MB-231,500,0,geometry_aware,0.8375585315990792,,,,,
BR:MDA-MB-231,500,-1,summary,,0.8375585315990792,1.4079642124590799,0.5704056808600007,10.0,22.0
BR:HS 578T,50,1,random,1.271946633931209,,,,,
BR:HS 578T,50,2,random,1.2624852594406093,,,,,
BR:HS 578T,50,3,random,1.3384553566427697,,,,,
BR:HS 578T,50,4,random,1.3205443589322463,,,,,
BR:HS 578T,50,5,random,1.2766828281982565,,,,,
BR:HS 578T,50,6,random,1.3425097832650117,,,,,
BR:HS 578T,50,7,random,1.338050939797851,,,,,
BR:HS 578T,50,8,random,1.2991592377875685,,,,,
BR:HS 578T,50,9,random,1.3081868357287196,,,,,
BR:HS 578T,50,10,random,1.277350281414979,,,,,
BR:HS 578T,50,0,geometry_aware,1.1090656725139225,,,,,
BR:HS 578T,50,-1,summary,,1.1090656725139225,1.3035371515139222,0.19447147899999973,10.0,15.0
BR:HS 578T,100,1,random,1.3259597076504925,,,,,
BR:HS 578T,100,2,random,1.4029535004406344,,,,,
BR:HS 578T,100,3,random,1.3905804268006965,,,,,
BR:HS 578T,100,4,random,1.3722227508577984,,,,,
BR:HS 578T,100,5,random,1.312778143589939,,,,,
BR:HS 578T,100,6,random,1.3566583619080137,,,,,
BR:HS 578T,100,7,random,1.409832469937195,,,,,
BR:HS 578T,100,8,random,1.359991344708831,,,,,
BR:HS 578T,100,9,random,1.3906128358335699,,,,,
BR:HS 578T,100,10,random,1.2957671771329864,,,,,
BR:HS 578T,100,0,geometry_aware,0.987637008652756,,,,,
BR:HS 578T,100,-1,summary,,0.987637008652756,1.3617356718860159,0.3740986632332598,10.0,15.0
BR:HS 578T,200,1,random,1.3996999519614244,,,,,
BR:HS 578T,200,2,random,1.3328301348937117,,,,,
BR:HS 578T,200,3,random,1.3786675119694662,,,,,
BR:HS 578T,200,4,random,1.3823143876765316,,,,,
BR:HS 578T,200,5,random,1.3900981526603606,,,,,
BR:HS 578T,200,6,random,1.3700770401261546,,,,,
BR:HS 578T,200,7,random,1.410804131000274,,,,,
BR:HS 578T,200,8,random,1.4037876093844524,,,,,
BR:HS 578T,200,9,random,1.4048881044281978,,,,,
BR:HS 578T,200,10,random,1.3907772621129413,,,,,
BR:HS 578T,200,0,geometry_aware,0.9628209540037225,,,,,
BR:HS 578T,200,-1,summary,,0.9628209540037225,1.3863944286213514,0.42357347461762895,10.0,15.0
BR:HS 578T,500,1,random,1.4096589827013999,,,,,
BR:HS 578T,500,2,random,1.4095347295225353,,,,,
BR:HS 578T,500,3,random,1.4098426448269035,,,,,
BR:HS 578T,500,4,random,1.397020283817569,,,,,
BR:HS 578T,500,5,random,1.4078834102288045,,,,,
