,geometry_aware_distortion,geometry_aware_distortion,geometry_aware_distortion,geometry_aware_distortion,random_mean_distortion,random_mean_distortion,random_mean_distortion,random_mean_distortion,advantage,advantage,advantage,advantage
,mean,median,std,count,mean,median,std,count,mean,median,std,count
panel_size,,,,,,,,,,,,
50,1.107928074256793,1.107928074256793,,1,1.2763560899890527,1.2763560899890527,,1,0.16842801573225974,0.16842801573225974,,1
100,0.9901269229235229,0.9901269229235229,,1,1.3591430844862935,1.3591430844862935,,1,0.3690161615627706,0.3690161615627706,,1
200,0.9621073686945167,0.9621073686945167,,1,1.3963062434130713,1.3963062434130713,,1,0.43419887471855456,0.43419887471855456,,1
500,0.9233074381255385,0.9233074381255385,,1,1.3982231543167027,1.3982231543167027,,1,0.47491571619116424,0.47491571619116424,,1
